2026-02-01 18:05:19,934 | api                  | ERROR    | api:get_fundamentals:253 | Failed to fetch financial abstract for 600519: HTTPSConnectionPool(host='quotes.sina.cn', port=443): Read timed out. (read timeout=1.5)
2026-02-01 18:06:39,320 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
2026-02-01 18:08:49,991 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
2026-02-01 18:08:50,459 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
2026-02-01 18:14:07,820 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
2026-02-01 18:14:09,833 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
2026-02-01 18:36:53,014 | agents               | WARNING  | db_cache:<module>:38 | ⚠️ redis 未安装，Redis功能不可用
2026-02-01 18:38:30,485 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
2026-02-01 18:38:31,527 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
2026-02-01 18:38:31,805 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
2026-02-01 18:38:37,067 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
2026-02-01 22:36:31,824 | agents               | WARNING  | db_cache:<module>:38 | ⚠️ redis 未安装，Redis功能不可用
2026-02-01 22:42:47,820 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
2026-02-01 22:43:52,644 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
2026-02-01 22:43:53,014 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
2026-02-01 22:43:57,489 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
2026-02-01 22:49:48,689 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
2026-02-01 22:49:50,833 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
2026-02-01 22:49:55,620 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
2026-02-01 22:53:03,700 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
2026-02-01 22:53:04,653 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
2026-02-01 22:53:10,671 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
2026-02-01 22:53:11,098 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
2026-02-01 22:57:31,663 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
2026-02-01 22:57:32,366 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
2026-02-01 22:57:32,857 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
2026-02-01 23:23:53,390 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
2026-02-01 23:23:54,415 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
2026-02-01 23:23:55,554 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
2026-02-01 23:23:56,298 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
2026-02-01 23:23:56,637 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
2026-02-02 00:03:25,028 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:get_stock_list:359 | ⚠️ AKShare 动态获取股票列表失败，尝试使用本地备份文件...
